username, created_at, lng, lat, text
KevinHonold, Fri Apr 17 03:27:25 +0000 2020, -122.330602, 47.614817, @IRSnews I'm trying to enter direct payment info for stimulus payments, but your page is broken. https://t.co/MPFy2McWpv 
massagestream, Fri Apr 17 03:27:27 +0000 2020, -106.632718, 35.117002, 😤 https://t.co/evtv3XqYmf 
Tha_Greatness, Fri Apr 17 03:27:47 +0000 2020, -96.734900, 33.061243, 🥴😂😂 
mamaluci, Fri Apr 17 03:28:43 +0000 2020, -112.088627, 33.834852, As along as the consumers don’t care what the they pay or how much they pay for food... 
lexie_knutson, Fri Apr 17 03:29:11 +0000 2020, -111.931711, 34.168253, So uh... where’s my stimulus check? 
Jmedin21, Fri Apr 17 03:29:22 +0000 2020, -106.417430, 31.793368, I've noticed people in El Paso already got their stimulus check.  There's traffic and the stores were packed. Call… https://t.co/EIENgQLPYp 
pmsmom61, Fri Apr 17 03:29:23 +0000 2020, -118.411907, 34.020789, Where is the outrage?  #glitches  #glitch 
kaxillionss, Fri Apr 17 03:29:29 +0000 2020, -97.285913, 32.779967, An u going straight up from there literally 🤣😭 
Rakafella_, Fri Apr 17 03:29:34 +0000 2020, -84.433106, 33.767195, Lol play with me I’ll have all the stimulus checks 😂😂😂🤸🏾‍♂️ 
DigitalMediaBoy, Fri Apr 17 03:29:38 +0000 2020, 150.931975, -33.848244, Hearing lots of happy small businesses with @GladysB @DamienTudehope  @VictorDominello from my biz chamber on how e… https://t.co/S2snJRruPB 
FloFloXVI, Fri Apr 17 03:29:44 +0000 2020, -80.112903, 26.533486, Lmfaooo y’all gonna ignore the “where my stimulus check at” 
maavejackson, Fri Apr 17 03:30:14 +0000 2020, -118.411907, 34.020789, @Ritha87 lmao!!! Why did he call me this morning like “did you get your stimulus check?” I said yes... he said “oka… https://t.co/aEaGqNYiCW 
NTXProDriver, Fri Apr 17 03:31:03 +0000 2020, -96.761753, 32.819858, Look just like the #PostalService another government function that fails. 
CesarMercado4, Fri Apr 17 03:31:20 +0000 2020, -119.306608, 37.269176, Plz post all the details plz 
Just_JayyTee, Fri Apr 17 03:31:36 +0000 2020, -84.212973, 33.850397, Niggas are attention whores 
VIBS1991, Fri Apr 17 03:32:51 +0000 2020, -117.119517, 33.501021, Y’all wanna get into some weird stimulus Instagram thing and make $700? Lemme know https://t.co/x0w9odfXDp 
mo2dmax, Fri Apr 17 03:32:53 +0000 2020, -80.639541, 41.105271, Trump doesn't know how his name ended up on your stimulus check. Today in maximum BS....  https://t.co/5UKJRVZwLl 
RowdyHawk, Fri Apr 17 03:33:13 +0000 2020, -100.076888, 31.168893, Just released: property taxes within Bexar County going up an average of 8.7% next year. I know where my stimulus check is going.. 
lupitaveexo, Fri Apr 17 03:33:18 +0000 2020, -95.239908, 29.766673, my dad said he would give me $5 from his stimulus PAPER check once it arrives in like 10 years 😌😌😊😊😊😊😊 love that 
tylervasquezz, Fri Apr 17 03:33:20 +0000 2020, -95.446486, 29.838495, Tired of waking up and not seeing the stimulus check in my account 
brandalintipton, Fri Apr 17 03:33:33 +0000 2020, -117.320879, 33.226316, If they hit me with another stimulus check I may stimulate these titties with a boob job 
sabrinamtubbs, Fri Apr 17 03:35:05 +0000 2020, -117.195735, 34.120005, college students should get stimulus checks too.college students should get stimulus checks too.college students… https://t.co/eRWSrIowUO 
TheOGDimbo, Fri Apr 17 03:35:13 +0000 2020, -84.539813, 39.137038, Also I’m not paying you 2.99 I didn’t get my stimulus check. 
SanaSecurities, Fri Apr 17 03:35:40 +0000 2020, 77.095086, 28.638489, Everyone waiting for a stimulus package will fail to come up with a single idea on this - what kind of stimulus package do you expect? 
Avery_happymama, Fri Apr 17 03:35:41 +0000 2020, -109.694828, 32.818985, @SavannahCleland 
claire14c, Fri Apr 17 03:35:42 +0000 2020, -74.934345, 39.790061, https://t.co/PkRG4u6aSd 
fkehrwald, Fri Apr 17 03:35:54 +0000 2020, -107.554562, 43.000325, dudes be checkin their bank app for stimulus check but not their news app for a reality check 
AgentTDB, Fri Apr 17 03:36:10 +0000 2020, -73.780318, 41.190203, @SpanishEP Stimulus check tracking1-800-522-5633@MrMikeCalta @GalvinSeriously 
Super_Centex, Fri Apr 17 03:36:59 +0000 2020, -100.076888, 31.168893, 50% of Americans don’t have at least $400 in their rainy day fund. 60% of those haven’t gotten their stimulus check… https://t.co/cF9HIfZ1m5 
